Name ,Team,Age,Market Value(EURO),10,11,12,13,14,average
David de Gea,MUN,32,"15,000,000  ",6.9,5.87,7.55,5.47,7.83,6.724
Tom Heaton,MUN,36,600k,0,0,0,0,0,0
Nathan Bishop,MUN,23,0,6,6,6,6,6,6
Martin Dúbravka,MUN,33,"4,000,000",6,6,6,6,6,6
Radek Vítek,MUN,19,0,6,6,6,6,6,6
Victor Lindelöf,MUN,28,"15,000,000",6.43,6.57,6.24,5.8,7.47,6.502
Phil Jones,MUN,30,"2,000,000",6,6,6,6,6,6
Harry Maguire,MUN,29,"30,000,000  ",0,6.73,6.03,5.99,7.75,6.625
Lisandro Martínez,MUN,24,"50,000000  ",7.4,6.93,7.64,6.5,7.21,7.136
Tyrell Malacia,MUN,23,"22,000,000",6.26,6.76,5.54,6.08,6.21,6.17
Raphaël Varane,MUN,29,"40,000,000  ",5.56,6.27,6.57,7.15,6.7,6.45
Diogo Dalot,MUN,23,"32,000,000  ",7.29,7.47,6.64,8.31,6.48,7.238
Luke Shaw,MUN,27,"28,000,000 ",7.5,7.26,7.24,5.89,7.17,7.012
Aaron Wan Bissaka,MUN,24,"18,000,000  ",0,0,0,0,6.11,6.11
Brandon Williams,MUN,22,"10,000,000",0,0,0,0,0,0
Axel Tuanzebe,MUN,24,"6,000,000",0,0,0,0,0,0
Teden Mengi,MUN,20,0,0,0,0,0,0,0
Tyler Fredricson,MUN,17,0,0,0,0,0,0,0
Bruno Fernandes,MUN,28,"75,000,000",7.4,9.2,6.68,7.18,7.05,7.502
Christian Eriksen,MUN,30,"25,000,000",6.02,6.53,7.69,6.05,7.9,6.838
Fred,MUN,29,"20,000,000  ",6.53,6.45,8.73,6.05,6.11,6.774
Casemiro,MUN,30,"50,000,000  ",7.54,7.93,7.39,6.46,7.54,7.372
Facundo Pellistri,MUN,20,"3,000,000",0,0,0,0,0,0
Donny van de Beek,MUN,25,"20,000000  ",0,6.19,5.94,5.97,6.19,6.0725
Scott McTominay,MUN,25,"30,000,000",5.98,5.99,5.83,6.7,6.24,6.148
Alejandro Garnacho,MUN,18,"5,000,000  ",0,0,5.97,6.08,6.7,6.25
Zidane Iqbal,MUN,19,0,0,0,0,0,0,0
Kobbie Mainoo,MUN,17,0,0,0,0,0,0,0
Cristiano Ronaldo,MUN,37,"20,000,000  ",6.25,7.77,5.87,6.9,6.14,6.586
Anthony Martial,MUN,26,"15,000,000 ",0,0,0,0,0,0
Marcus Rashford,MUN,25,"55,000,000  ",0,0,0,0,0,0
Antony,MUN,22,"75,000,000  ",0,0,0,0,0,0
Jadon Sancho,MUN,22,"60,000,000  ",6.35,5.76,6.43,7.08,6.26,6.376
Anthony Elanga,MUN,20,"25,000,000  ",0,6.17,6.07,6.13,6.5,6.2175
Shola Shoretire,MUN,18,0,0,0,0,0,0,0
Charlie McNeill,MUN,19,0,0,0,0,0,0,0
Aaron Ramsdale,ARS,24,"30,000,000",6.06,6,7,6.83,6.98,6.574
Matt Turner,ARS,28,"5,000,000",0,0,0,0,0,0
Karl Hein,ARS,20,0,0,0,0,0,0,0
Kieran Tierney,ARS,25,"30,000,000",6.38,6.11,6,6.28,6.23,6.2
Ben White,ARS,25,"45,000,000",7.07,7.12,7.24,6.92,7.06,7.082
Gabriel,ARS,24,"40,000,000",8,6.99,6.95,7.74,7.12,7.36
William Saliba,ARS,21,"50,000,000",6.66,6.49,7.35,6.98,6.39,6.774
Rob Holding,ARS,27,"10,000,000",0,6,6.23,6.04,6.03,6.075
Cédric Soares,ARS,31,"4,000,000",0,0,0,6.13,6.02,6.075
Takehiro Tomiyasu,ARS,24,"25,000,000",5.99,6.97,7.02,6.93,7.15,6.812
Lino Sousa,ARS,17,0,0,0,0,0,0,0
Thomas Partey,ARS,29,"38,000,000",6.94,6.62,8.1,7.07,6.83,7.112
Bukayo Saka,ARS,21,"90,000,000",7.62,6.43,7.04,7.03,7.23,7.07
Martin Ødegaard,ARS,23,"60,000,000",7.67,6.77,8.41,6.65,8.63,7.626
Emile Smith Rowe,ARS,22,"38,000,000",0,6.44,6.54,6.14,5.89,6.2525
Fabio Vieira,ARS,22,"30,000,000",6.23,6.17,6.06,6.01,6.96,6.286
Albert Sambi Lokonga,ARS,23,"15,000,000",6.05,7.06,6.36,6.15,6.05,6.334
Mohamed Elneny,ARS,30,"9,000,000",0,0,6.38,6.05,6.03,6.153333333
Granit Xhaka,ARS,30,"28,000,000",6.66,7.4,6.52,7.1,6.16,6.768
Oleksandr Zinchenko,ARS,25,"32,000,000",7.25,5.9,6.88,6.94,6.7,6.734
Catalin Cirjan,ARS,19,0,0,0,0,0,0,0
Matthew Smith,ARS,22,0,0,0,0,0,0,0
Ethan Nwaneri,ARS,15,0,0,0,0,0,0,0
Amario Cozier0Duberry,ARS,17,0,0,0,0,0,0,0
Bradley Ibrahim,ARS,18,0,0,0,0,0,0,0
Gabriel Jesus,ARS,25,"75,000,000",6.36,6.46,9.05,7.33,7.48,7.336
Gabriel Martinelli,ARS,21,"60,000,000",6.76,6.52,7.93,6.51,7.02,6.948
Edward Nketiah,ARS,23,"18,000,000",6.01,5.96,6.1,6.07,6.21,6.07
Reiss Nelson,ARS,22,"7,000,000",0,0,0,8.95,6.07,7.51
Marquinhos,ARS,19,"10,000,000",0,0,0,0,6.03,6.03
Khayon Edwards,ARS,19,0,0,0,0,0,0,0
Alisson,LIV,30,"50,000000 ",8.23,7.24,6.52,7.69,7.15,7.366
Adrián,LIV,35,"1,000000 ",0,0,0,0,0,0
Caoimhin Kelleher,LIV,23,"8,000,000",0,0,0,0,0,0
Harvey Davies,LIV,19,0,0,0,0,0,0,0
Joe Gomez,LIV,25,"30,000,000",6.52,6.53,5.76,6.13,6.81,6.35
Virgil van Dijk,LIV,31,"50,000,000",7,6.66,6.37,6.29,6.88,6.64
Ibrahima Konaté,LIV,23,"35,000,000",0,0,0,6.06,7.51,6.785
Konstantinos Tsimikas,LIV,26,"18,000,000",6.09,5.97,6.03,6.9,6.33,6.264
Calvin Ramsay,LIV,19,"5,000,000",0,0,0,0,0,0
